,Município,ano,ginibr
151,150010 Abaetetuba,1991,"0,5056"
152,150013 Abel Figueiredo,1991,
153,150020 Acará,1991,"0,5783"
154,150030 Afuá,1991,"0,475"
155,150034 Água Azul do Norte,1991,
156,150040 Alenquer,1991,"0,5032"
157,150050 Almeirim,1991,"0,6135"
158,150060 Altamira,1991,"0,5895"
159,150070 Anajás,1991,"0,3901"
160,150080 Ananindeua,1991,"0,5554"
161,150085 Anapu,1991,
162,150090 Augusto Corrêa,1991,"0,4145"
163,150095 Aurora do Pará,1991,
164,150100 Aveiro,1991,"0,5626"
165,150110 Bagre,1991,"0,4297"
166,150120 Baião,1991,"0,5128"
167,150125 Bannach,1991,
168,150130 Barcarena,1991,"0,5673"
169,150140 Belém,1991,"0,6041"
170,150145 Belterra,1991,
171,150150 Benevides,1991,"0,5345"
172,150157 Bom Jesus do Tocantins,1991,"0,5725"
173,150160 Bonito,1991,"0,4789"
174,150170 Bragança,1991,"0,5063"
175,150172 Brasil Novo,1991,
176,150175 Brejo Grande do Araguaia,1991,"0,4877"
177,150178 Breu Branco,1991,
178,150180 Breves,1991,"0,5399"
179,150190 Bujaru,1991,"0,5305"
180,150200 Cachoeira do Arari,1991,"0,4988"
181,150195 Cachoeira do Piriá,1991,
182,150210 Cametá,1991,"0,502"
183,150215 Canaã dos Carajás,1991,
184,150220 Capanema,1991,"0,585"
185,150230 Capitão Poço,1991,"0,5172"
186,150240 Castanhal,1991,"0,5751"
187,150250 Chaves,1991,"0,4913"
188,150260 Colares,1991,"0,524"
189,150270 Conceição do Araguaia,1991,"0,529"
190,150275 Concórdia do Pará,1991,"0,5812"
191,150276 Cumaru do Norte,1991,
192,150277 Curionópolis,1991,"0,5754"
193,150280 Curralinho,1991,"0,5371"
194,150285 Curuá,1991,
195,150290 Curuçá,1991,"0,5274"
196,150293 Dom Eliseu,1991,"0,5437"
197,150295 Eldorado dos Carajás,1991,
198,150300 Faro,1991,"0,4717"
199,150304 Floresta do Araguaia,1991,
200,150307 Garrafão do Norte,1991,"0,4481"
201,150309 Goianésia do Pará,1991,
202,150310 Gurupá,1991,"0,4944"
203,150320 Igarapé-Açu,1991,"0,5583"
204,150330 Igarapé-Miri,1991,"0,4911"
205,150340 Inhangapi,1991,"0,4822"
206,150345 Ipixuna do Pará,1991,
207,150350 Irituia,1991,"0,4575"
208,150360 Itaituba,1991,"0,5995"
209,150370 Itupiranga,1991,"0,5221"
210,150375 Jacareacanga,1991,
211,150380 Jacundá,1991,"0,5793"
212,150390 Juruti,1991,"0,5038"
213,150400 Limoeiro do Ajuru,1991,"0,4449"
214,150405 Mãe do Rio,1991,"0,5829"
215,150410 Magalhães Barata,1991,"0,4291"
216,150420 Marabá,1991,"0,6018"
217,150430 Maracanã,1991,"0,4765"
218,150440 Marapanim,1991,"0,5065"
219,150442 Marituba,1991,
220,150445 Medicilândia,1991,"0,6201"
221,150450 Melgaço,1991,"0,4626"
222,150460 Mocajuba,1991,"0,463"
223,150470 Moju,1991,"0,4967"
224,150480 Monte Alegre,1991,"0,5101"
225,150490 Muaná,1991,"0,4961"
226,150495 Nova Esperança do Piriá,1991,
227,150497 Nova Ipixuna,1991,
228,150500 Nova Timboteua,1991,"0,5517"
229,150503 Novo Progresso,1991,
230,150506 Novo Repartimento,1991,
